date,ticker,equity,price,cash
2026-05-14,AAPL,10225.09228302286,298.2099914550781,10225.09228302286
2026-05-15,AAPL,10225.09228302286,300.2300109863281,10225.09228302286
2026-05-18,AAPL,10225.09228302286,297.8399963378906,10225.09228302286
2026-05-19,AAPL,10225.09228302286,298.9700012207031,10225.09228302286
2026-05-20,AAPL,10225.09228302286,302.25,10225.09228302286
2026-05-21,AAPL,10225.09228302286,304.989990234375,10225.09228302286
2026-05-22,AAPL,10225.09228302286,308.82000732421875,10225.09228302286
2026-05-26,AAPL,10225.09228302286,308.3299865722656,10225.09228302286
2026-05-27,AAPL,10225.09228302286,310.8500061035156,10225.09228302286
2026-05-28,AAPL,10225.09228302286,312.510009765625,10225.09228302286
2026-05-29,AAPL,10225.09228302286,312.05999755859375,10225.09228302286
2026-06-01,AAPL,10225.09228302286,306.30999755859375,10225.09228302286
2026-06-02,AAPL,10225.09228302286,315.20001220703125,10225.09228302286
2026-06-03,AAPL,10225.09228302286,310.260009765625,10225.09228302286
2026-06-04,AAPL,10225.09228302286,311.2300109863281,10225.09228302286
2026-06-05,AAPL,10225.09228302286,307.3399963378906,10225.09228302286
2025-12-08,TSLA,10225.09228302286,439.5799865722656,10225.09228302286
2025-12-09,TSLA,10225.09228302286,445.1700134277344,10225.09228302286
2025-12-10,TSLA,10225.09228302286,451.45001220703125,10225.09228302286
2025-12-11,TSLA,10225.09228302286,446.8900146484375,10225.09228302286
2025-12-12,TSLA,10225.09228302286,458.9599914550781,10225.09228302286
2025-12-15,TSLA,10225.09228302286,475.30999755859375,10225.09228302286
2025-12-16,TSLA,10225.09228302286,489.8800048828125,10225.09228302286
2025-12-17,TSLA,10225.09228302286,467.260009765625,10225.09228302286
2025-12-18,TSLA,10225.09228302286,483.3699951171875,10225.09228302286
2025-12-19,TSLA,10225.09228302286,481.20001220703125,10225.09228302286
2025-12-22,TSLA,10225.09228302286,488.7300109863281,10225.09228302286
2025-12-23,TSLA,10225.09228302286,485.55999755859375,10225.09228302286
2025-12-24,TSLA,10225.09228302286,485.3999938964844,10225.09228302286
2025-12-26,TSLA,10225.09228302286,475.19000244140625,10225.09228302286
2025-12-29,TSLA,10225.09228302286,459.6400146484375,10225.09228302286
2025-12-30,TSLA,10225.09228302286,454.42999267578125,10225.09228302286
2025-12-31,TSLA,10225.09228302286,449.7200012207031,10225.09228302286
2026-01-02,TSLA,10225.09228302286,438.07000732421875,10225.09228302286
2026-01-05,TSLA,10225.09228302286,451.6700134277344,10225.09228302286
2026-01-06,TSLA,10225.09228302286,432.9599914550781,10225.09228302286
2026-01-07,TSLA,10225.09228302286,431.4100036621094,10225.09228302286
2026-01-08,TSLA,10225.09228302286,435.79998779296875,10225.09228302286
2026-01-09,TSLA,10225.09228302286,445.010009765625,10225.09228302286
2026-01-12,TSLA,10225.09228302286,448.9599914550781,10225.09228302286
2026-01-13,TSLA,10225.09228302286,447.20001220703125,10225.09228302286
2026-01-14,TSLA,10225.09228302286,439.20001220703125,10225.09228302286
2026-01-15,TSLA,10225.09228302286,438.57000732421875,10225.09228302286
2026-01-16,TSLA,10225.09228302286,437.5,10225.09228302286
2026-01-20,TSLA,10225.09228302286,419.25,10225.09228302286
2026-01-21,TSLA,10225.09228302286,431.44000244140625,10225.09228302286
2026-01-22,TSLA,10225.09228302286,449.3599853515625,10225.09228302286
2026-01-23,TSLA,10225.09228302286,449.05999755859375,10225.09228302286
2026-01-26,TSLA,10225.09228302286,435.20001220703125,10225.09228302286
2026-01-27,TSLA,10225.09228302286,430.8999938964844,10225.09228302286
2026-01-28,TSLA,10225.09228302286,431.4599914550781,10225.09228302286
2026-01-29,TSLA,10225.09228302286,416.55999755859375,10225.09228302286
2026-01-30,TSLA,10225.09228302286,430.4100036621094,10225.09228302286
2026-02-02,TSLA,10225.09228302286,421.80999755859375,10225.09228302286
2026-02-03,TSLA,10225.09228302286,421.9599914550781,10225.09228302286
2026-02-04,TSLA,10225.09228302286,406.010009765625,10225.09228302286
2026-02-05,TSLA,10225.09228302286,397.2099914550781,10225.09228302286
2026-02-06,TSLA,10225.09228302286,411.1099853515625,10225.09228302286
2026-02-09,TSLA,10225.09228302286,417.32000732421875,10225.09228302286
2026-02-10,TSLA,10225.09228302286,425.2099914550781,10225.09228302286
2026-02-11,TSLA,10225.09228302286,428.2699890136719,10225.09228302286
2026-02-12,TSLA,10225.09228302286,417.07000732421875,10225.09228302286
2026-02-13,TSLA,10225.09228302286,417.44000244140625,10225.09228302286
2026-02-17,TSLA,10225.09228302286,410.6300048828125,10225.09228302286
2026-02-18,TSLA,10225.09228302286,411.32000732421875,10225.09228302286
2026-02-19,TSLA,10225.09228302286,411.7099914550781,10225.09228302286
2026-02-20,TSLA,10225.09228302286,411.82000732421875,10225.09228302286
2026-02-23,TSLA,10225.09228302286,399.8299865722656,10225.09228302286
2026-02-24,TSLA,10225.09228302286,409.3800048828125,10225.09228302286
2026-02-25,TSLA,10225.09228302286,417.3999938964844,10225.09228302286
2026-02-26,TSLA,10225.09228302286,408.5799865722656,10225.09228302286
2026-02-27,TSLA,10225.09228302286,402.510009765625,10225.09228302286
2026-03-02,TSLA,10225.09228302286,403.32000732421875,10225.09228302286
2026-03-03,TSLA,10225.09228302286,392.42999267578125,10225.09228302286
2026-03-04,TSLA,10225.09228302286,405.94000244140625,10225.09228302286
